N,BUSCA,Tempo de inserção (média com 10 execuções),Tempo de procura (média com 10 execuções),Tipo
100,100,"0,00009030000000000000","0,00004140000000000000",seq
100,1000,"0,00007890000000000000","0,00035850000000000000",seq
100,10000,"0,00008520000000000000","0,00386850000000000000",seq
100,100000,"0,00008130000000000000","0,02740820000000000000",seq
100,1000000,"0,00008680000000000000","0,22874940000000000000",seq
100,1,"0,00008096200000000000","0,00000164000000000000",seq
100,1,"0,00007940000000000000","0,00000170000000000000",seq
100,1,"0,00008400000000000000","0,00000220000000000000",seq
100,1,"0,00008760000000000000","0,00000160000000000000",seq
1000,100,"0,00851270000000000000","0,00030670000000000000",seq
1000,1000,"0,00740300000000000000","0,00291510000000000000",seq
1000,10000,"0,00765250000000000000","0,02262000000000000000",seq
1000,100000,"0,00775120000000000000","0,20847010000000000000",seq
1000,1000000,"0,00731520000000000000","2,07965480000000000000",seq
10000,100,"0,50410040000000000000","0,00202950000000000000",seq
10000,1000,"0,50649710000000000000","0,02016840000000000000",seq
10000,10000,"0,50843410000000000000","0,20461470000000000000",seq
10000,100000,"0,50697590000000000000","2,03111170000000000000",seq
100,100,"0,00003790000000000000","0,00001250000000000000",rand
100,1000,"0,00003460000000000000","0,00011260000000000000",rand
100,10000,"0,00003560000000000000","0,00101110000000000000",rand
100,100000,"0,00004010000000000000","0,00868320000000000000",rand
100,1000000,"0,00003450000000000000","0,07530180000000000000",rand
1000,100,"0,00039370000000000000","0,00001990000000000000",rand
1000,1000,"0,00042220000000000000","0,00017390000000000000",rand
1000,10000,"0,00043630000000000000","0,00178480000000000000",rand
1000,100000,"0,00041680000000000000","0,01603150000000000000",rand
1000,1000000,"0,00040940000000000000","0,12099740000000000000",rand
10000,100,"0,00492530000000000000","0,00002750000000000000",rand
10000,1000,"0,00480330000000000000","0,00027830000000000000",rand
10000,10000,"0,00532210000000000000","0,00248810000000000000",rand
10000,100000,"0,00528100000000000000","0,02105190000000000000",rand
10000,1000000,"0,00504070000000000000","0,19577460000000000000",rand
10000,100,"0,00536400000000000000","0,00002830000000000000",rand
10000,1000,"0,00488890000000000000","0,00027990000000000000",rand
10000,10000,"0,00570080000000000000","0,00268300000000000000",rand
10000,100000,"0,00564160000000000000","0,02056560000000000000",rand
10000,1000000,"0,00504350000000000000","0,19121310000000000000",rand
100000,100,"0,05364210000000000000","0,00003740000000000000",rand
100000,1000,"0,05198430000000000000","0,00034280000000000000",rand
100000,10000,"0,05591520000000000000","0,00364340000000000000",rand
100000,100000,"0,05115980000000000000","0,03015010000000000000",rand
10000,1000000,"0,50900600000000000000","20,36604790000000000000",seq
100000,1000000,"0,05023820000000000000","0,29794850000000000000",rand
100000,1000000,"0,05031100000000000000","0,29559200000000000000",rand
10000,100,"0,50807630000000000000","0,00204980000000000000",seq
100000,1000,"83,17425370000000000000","0,23295760000000000000",seq
100000,10000,"81,74804680000000000000","2,32601990000000000000",seq
100000,100000,"93,26461000000000000000","24,50180400000000000000",seq
100000,1000000,"","",seq
100000,1000000,"78,78699700000000000000","237,40545500000000000000",seq
10000,100,"0,00577640000000000000","0,00002900000000000000",rand
10000,1000,"0,00577710000000000000","0,00027110000000000000",rand
10000,10000,"0,00610750000000000000","0,00267900000000000000",rand
10000,100000,"0,00561210000000000000","0,01995010000000000000",rand
10000,1000000,"0,00518570000000000000","0,18525240000000000000",rand
100000,100,"0,05132290000000000000","0,00003520000000000000",rand
100000,1000,"0,04985010000000000000","0,00032260000000000000",rand
100000,10000,"0,05107770000000000000","0,00330920000000000000",rand
100000,100000,"0,04943700000000000000","0,02940710000000000000",rand
100000,1000000,"0,05160140000000000000","0,29557130000000000000",rand
10000,100,"0,50378780000000000000","0,00203340000000000000",seq
